Samples with high stdevs for the concentration measurements:
Density thresholds:	1.72904	1.72240	1.71584	1.70770
AA3_D1_16O-7-1472-137-EFGH	 0.657_1.75968:1.73255_0.000-0.029-0.098-0.260-0.760-2.796	14.758_1.72728:1.72728_14.758	27.525_1.72072:1.72072_27.525	17.526_1.71416:1.71089_23.085-11.967	1.449_1.70452:1.65862_4.792-2.259-1.242-0.755-0.412-0.286-0.395
AA3_D1_18O-7-1423-133-EFGH	 1.902_1.75801:1.73288_0.120-0.664-1.298-2.652-4.775	9.204_1.72760:1.72760_9.204	12.015_1.72105:1.72105_12.015	7.263_1.71449:1.70903_9.561-4.965	0.719_1.70247:1.65895_2.216-1.199-0.666-0.364-0.214-0.187-0.187
AA3_D3_16O-7-1476-137-ABCD	 0.481_1.75924:1.73320_0.000-0.033-0.059-0.170-0.567-2.054	11.411_1.72665:1.72665_11.411	27.602_1.72009:1.72009_27.602	21.914_1.71463:1.70916_28.711-15.117	2.118_1.70389:1.64835_7.472-3.251-1.923-0.899-0.479-0.383-0.417
AA3_D3_18O-7-1425-129-IJKL	 2.743_1.75427:1.72913_0.525-1.305-1.950-3.429-6.507	13.337_1.72367:1.72367_13.337	13.400_1.71711:1.71711_13.400	8.900_1.71184:1.71184_8.900	1.228_1.70638:1.65939_4.559-1.828-1.009-0.504-0.278-0.198-0.217
AA3_D5_16O-7-1482-141-MNOP	 1.180_1.75700:1.72949_0.060-0.103-0.155-0.419-1.148-5.197	12.307_1.72621:1.72621_12.307	15.113_1.71965:1.71965_15.113	9.996_1.71419:1.71419_9.996	1.403_1.70763:1.63333_5.243-2.499-1.460-0.827-0.489-0.319-0.234-0.149
AA3_D5_18O-7-1429-139-IJKL	 1.100_1.75413:1.73009_0.141-1.103-1.116-1.087-2.055	7.495_1.72463:1.72463_7.495	8.429_1.71807:1.71807_8.429	7.243_1.71261:1.71261_7.243	0.972_1.70605:1.65597_3.752-1.489-0.853-0.323-0.179-0.102-0.107
AB3_D1_16O-7-1485-142-ABCD	 0.801_1.75727:1.73452_0.000-0.027-0.095-0.337-3.547	20.725_1.72796:1.72796_20.725	23.938_1.72140:1.71594_28.188-19.689	9.254_1.71048:1.71048_9.254	1.198_1.70411:1.65513_3.824-1.855-0.974-0.658-0.349-0.326-0.397
AB3_D1_18O-7-1431-132-IJKL	 1.277_1.75995:1.73064_0.000-0.000-0.254-0.819-2.228-4.364	10.771_1.72517:1.72517_10.771	15.157_1.71862:1.71862_15.157	7.063_1.71425:1.70788_8.691-5.434	0.781_1.70132:1.66655_2.312-0.999-0.632-0.365-0.192-0.187
AB3_D3_16O-7-1489-134-EFGH	 0.608_1.75897:1.73165_0.057-0.123-0.276-0.459-0.734-1.999	4.985_1.72618:1.72618_4.985	8.677_1.71963:1.71963_8.677	8.659_1.71416:1.71416_8.659	1.752_1.70761:1.66190_6.234-3.423-1.683-1.047-0.660-0.393-0.295-0.282
AB3_D3_18O-7-1433-131-ABCD	 1.283_1.75899:1.73514_0.029-0.306-1.080-1.867-3.133	12.092_1.72859:1.72312_6.889-17.296	16.477_1.71657:1.71657_16.477	12.406_1.71110:1.71110_12.406	1.382_1.70583:1.62516_5.891-2.367-1.305-0.670-0.316-0.177-0.177-0.155
AB3_D5_16O-7-1495-141-IJKL	 1.860_1.75951:1.73110_0.000-0.000-0.000-0.196-1.199-9.764	27.435_1.72454:1.72454_27.435	23.866_1.72017:1.72017_23.866	15.291_1.71362:1.71362_15.291	1.961_1.70706:1.65789_7.060-3.021-1.735-0.778-0.405-0.355-0.373
AB3_D5_18O-7-1437-139-IJKL	 1.996_1.75708:1.72995_0.102-0.478-1.444-1.767-2.863-5.320	9.474_1.72449:1.72449_9.474	10.538_1.72012:1.72012_10.538	7.250_1.71575:1.71028_9.417-5.083	0.701_1.70482:1.67988_2.291-0.701-0.645-0.446-0.350-0.308-0.162
AC3_D1_16O-7-1498-134-IJKL	 0.175_1.75607:1.73094_0.000-0.000-0.000-0.140-0.736	4.565_1.72657:1.72657_4.565	10.421_1.72001:1.72001_10.421	7.894_1.71474:1.70818_9.997-5.791	0.722_1.70272:1.65245_2.460-1.235-0.653-0.333-0.161-0.109-0.102
AC3_D1_18O-7-1439-134-ABCD	 0.872_1.75615:1.73340_0.000-0.169-0.360-1.245-2.584	8.696_1.72703:1.72266_6.234-11.158	11.036_1.71720:1.71720_11.036	6.733_1.71064:1.71064_6.733	0.804_1.70627:1.66821_2.877-1.188-0.675-0.453-0.172-0.126-0.139
AC3_D3_16O-7-1502-143-MNOP	 0.386_1.75552:1.73258_0.000-0.049-0.138-0.367-1.377	8.393_1.72711:1.72711_8.393	16.185_1.72056:1.72056_16.185	16.448_1.71509:1.70963_19.022-13.874	1.642_1.70307:1.65300_5.942-2.464-1.423-0.626-0.362-0.304-0.370
AC3_D3_18O-7-1441-129-MNOP	 4.806_1.75427:1.73023_0.984-2.313-3.488-5.901-11.346	14.621_1.72367:1.72367_14.621	15.661_1.71821:1.71821_15.661	11.378_1.71274:1.71274_11.378	1.179_1.70728:1.64955_4.553-1.954-1.013-0.424-0.224-0.083-0.000
AC3_D5_16O-7-1508-134-EFGH	 0.555_1.75654:1.73159_0.092-0.169-0.381-0.605-1.531	5.091_1.72722:1.72722_5.091	10.121_1.72067:1.72067_10.121	8.218_1.71520:1.70865_9.689-6.747	1.198_1.70318:1.65857_3.477-1.918-1.346-0.777-0.427-0.243-0.202
AC3_D5_18O-7-1445-132-ABCD	 2.773_1.75774:1.73280_0.144-1.144-2.907-3.920-5.748	12.027_1.72624:1.72624_12.027	18.877_1.72077:1.72077_18.877	12.990_1.71441:1.70895_17.552-8.429	1.104_1.70348:1.66562_3.466-1.530-0.775-0.404-0.245-0.203
HA3_D1_16O-7-1511-142-EFGH	 0.775_1.75973:1.73260_0.000-0.000-0.000-0.000-0.273-4.377	26.310_1.72714:1.72714_26.310	23.959_1.72058:1.71640_29.292-18.625	10.945_1.70985:1.70985_10.945	1.411_1.70438:1.64338_4.393-2.317-1.266-0.736-0.432-0.349-0.387
HA3_D1_18O-7-1447-141-ABCD	 1.399_1.75817:1.73432_0.000-0.093-0.517-1.514-4.872	17.676_1.72886:1.72886_17.676	12.460_1.72230:1.71684_21.838-3.081	8.250_1.71157:1.71157_8.250	1.029_1.70501:1.65931_2.753-1.742-1.029-0.658-0.358-0.270-0.391
HA3_D3_16O-7-1515-143-ABCD	 0.242_1.75837:1.73124_0.000-0.000-0.000-0.000-0.056-1.395	14.278_1.72577:1.72577_14.278	18.111_1.71922:1.71922_18.111	12.059_1.71375:1.71375_12.059	1.450_1.70720:1.63070_6.176-2.063-1.296-0.859-0.431-0.256-0.243-0.275
