batch,plate,sample,well,volume
122,ABCD,z16_1,E1,24
122,ABCD,z16_1,F1,24
122,ABCD,z16_1,G1,24
122,ABCD,z16_1,H1,24
122,ABCD,z16_1,H2,24
122,ABCD,z16_2,G2,24
122,ABCD,z16_3,F2,24
122,ABCD,z16_4,E2,35
122,ABCD,z16_4,D2,35
122,ABCD,z16_5,C2,35
122,ABCD,z16_5,B2,35
122,ABCD,z16_5,A2,24
122,ABCD,z16_5,A3,25
122,ABCD,z16_5,B3,34
122,ABCD,z16_5,C3,35
122,ABCD,z17_1,F4,25
122,ABCD,z17_1,E4,35
122,ABCD,z17_1,D4,35
122,ABCD,z17_1,C4,35
122,ABCD,z17_1,B4,35
122,ABCD,z17_2,A4,32.5
122,ABCD,z17_3,A5,35
122,ABCD,z17_4,B5,35
122,ABCD,z17_5,C5,35
122,ABCD,z17_5,D5,35
122,ABCD,z17_5,E5,35
122,ABCD,z17_5,F5,35
122,ABCD,z17_5,G5,35
122,ABCD,z17_5,H5,35
122,ABCD,z17_5,H6,35
122,ABCD,z18_1,A7,35
122,ABCD,z18_1,B7,35
122,ABCD,z18_1,C7,35
122,ABCD,z18_1,D7,35
122,ABCD,z18_1,E7,35
122,ABCD,z18_2,F7,35
122,ABCD,z18_3,G7,35
122,ABCD,z18_4,H7,25
122,ABCD,z18_4,H8,33
122,ABCD,z18_5,G8,35
122,ABCD,z18_5,F8,35
122,ABCD,z18_5,E8,35
122,ABCD,z18_5,D8,35
122,ABCD,z18_5,C8,35
122,ABCD,z18_5,B8,35
122,EFGH,Z10_1,B6,35
122,EFGH,Z10_1,A6,35
122,EFGH,Z10_1,A7,35
122,EFGH,Z10_1,B7,35
122,EFGH,Z10_1,C7,35
122,EFGH,Z10_2,D7,35
122,EFGH,Z10_3,E7,35
122,EFGH,Z10_4,F7,35
122,EFGH,Z10_5,G7,35
122,EFGH,Z10_5,H7,16
122,EFGH,Z10_5,H8,35
122,EFGH,Z10_5,G8,35
122,EFGH,Z10_5,F8,35
122,EFGH,Z10_5,E8,35
122,EFGH,Z10_5,D8,35
122,EFGH,Z10_5,C8,35
122,EFGH,Z11_1,G9,35
122,EFGH,Z11_1,H9,35
122,EFGH,Z11_1,H10,35
122,EFGH,Z11_1,G10,35
122,EFGH,Z11_1,F10,35
122,EFGH,Z11_2,E10,35
122,EFGH,Z11_3,D10,35
122,EFGH,Z11_3,C10,35
122,EFGH,Z11_4,B10,35
122,EFGH,Z11_5,A10,35
122,EFGH,Z11_5,A11,35
122,EFGH,Z11_5,B11,35
122,EFGH,Z11_5,C11,35
122,EFGH,Z11_5,D11,35
