sample_id,core_id,date_collected,viromics,host,incubation_length
AB3_D3_18O-7_1,AB3_D3,2023-9-1,0,LLNL-UCB,7
AB3_D3_18O-7_2,AB3_D3,2023-9-1,0,LLNL-UCB,7
AB3_D3_18O-7_3,AB3_D3,2023-9-1,0,LLNL-UCB,7
AB3_D3_18O-7_4,AB3_D3,2023-9-1,0,LLNL-UCB,7
AB3_D3_18O-7_5,AB3_D3,2023-9-1,0,LLNL-UCB,7
HB3_D1_18O-7_1,HB3_D1,2023-9-1,0,LLNL-UCB,7
HB3_D1_18O-7_2,HB3_D1,2023-9-1,0,LLNL-UCB,7
HB3_D1_18O-7_3,HB3_D1,2023-9-1,0,LLNL-UCB,7
HB3_D1_18O-7_4,HB3_D1,2023-9-1,0,LLNL-UCB,7
HB3_D1_18O-7_5,HB3_D1,2023-9-1,0,LLNL-UCB,7
AB9_D3_18O-7_1,AB9_D3,2023-9-1,0,LLNL-UCB,7
AB9_D3_18O-7_2,AB9_D3,2023-9-1,0,LLNL-UCB,7
AB9_D3_18O-7_3,AB9_D3,2023-9-1,0,LLNL-UCB,7
AB9_D3_18O-7_4,AB9_D3,2023-9-1,0,LLNL-UCB,7
AB9_D3_18O-7_5,AB9_D3,2023-9-1,0,LLNL-UCB,7
AB4_D1_18O-7_1,AB4_D1,2023-9-1,0,LLNL-UCB,7
AB4_D1_18O-7_2,AB4_D1,2023-9-1,0,LLNL-UCB,7
AB4_D1_18O-7_3,AB4_D1,2023-9-1,0,LLNL-UCB,7
AB4_D1_18O-7_4,AB4_D1,2023-9-1,0,LLNL-UCB,7
AB4_D1_18O-7_5,AB4_D1,2023-9-1,0,LLNL-UCB,7
AB7_D3_18O-7_1,AB7_D3,2023-9-1,0,LLNL-UCB,7
AB7_D3_18O-7_2,AB7_D3,2023-9-1,0,LLNL-UCB,7
AB7_D3_18O-7_3,AB7_D3,2023-9-1,0,LLNL-UCB,7
AB7_D3_18O-7_4,AB7_D3,2023-9-1,0,LLNL-UCB,7
AB7_D3_18O-7_5,AB7_D3,2023-9-1,0,LLNL-UCB,7
HA3_D1_18O-7_1,HA3_D1,2023-9-1,0,LLNL-UCB,7
HA3_D1_18O-7_2,HA3_D1,2023-9-1,0,LLNL-UCB,7
HA3_D1_18O-7_3,HA3_D1,2023-9-1,0,LLNL-UCB,7
HA3_D1_18O-7_4,HA3_D1,2023-9-1,0,LLNL-UCB,7
HA3_D1_18O-7_5,HA3_D1,2023-9-1,0,LLNL-UCB,7
AC4_D3_18O-7_1,AC4_D3,2023-9-1,0,LLNL-UCB,7
AC4_D3_18O-7_2,AC4_D3,2023-9-1,0,LLNL-UCB,7
AC4_D3_18O-7_3,AC4_D3,2023-9-1,0,LLNL-UCB,7
AC4_D3_18O-7_4,AC4_D3,2023-9-1,0,LLNL-UCB,7
