sample_id,Extraction ID,density,batch,plate,wells,volume-UCB,conc-UCB,volume-NG,conc-NG
AB3_D3_18O-7_1,J1_1,1.7469,131,ABCD,D1-E1-F1-G1-H1,175,1.28,160,3.37
AB3_D3_18O-7_2,J1_2,1.7259,131,ABCD,H2-G2,70,12.09,60,9.56
AB3_D3_18O-7_3,J1_3,1.7166,131,ABCD,F2,35,16.48,27,15.44
AB3_D3_18O-7_4,J1_4,1.7111,131,ABCD,E2,35,12.41,27,11.86
AB3_D3_18O-7_5,J1_5,1.6796,131,ABCD,D2-C2-B2-A2-A3-B3-C3-D3,280,1.38,254,2.14
HB3_D1_18O-7_1,J2_1,1.7461,129,ABCD,E1-F1-G1-H1-H2,175,1.77,163,2.98
HB3_D1_18O-7_2,J2_2,1.7285,129,ABCD,G2,35,15.38,27,15.44
HB3_D1_18O-7_3,J2_3,1.7221,129,ABCD,F2,35,14.57,27,16.55
HB3_D1_18O-7_4,J2_4,1.7128,129,ABCD,E2-D2,70,5.92,60,7.47
HB3_D1_18O-7_5,J2_5,1.6811,129,ABCD,C2-B2-A2-A3-B3-C3-D3,245,0.55,220,0.81
AB9_D3_18O-7_1,J3_1,1.7469,129,ABCD,G4-F4-E4-D4-C4,175,0.46,160,1.12
AB9_D3_18O-7_2,J3_2,1.7254,129,ABCD,B4-A4,70,6.9,62,8.83
AB9_D3_18O-7_3,J3_3,1.7163,129,ABCD,A5,35,7.03,27,9.93
AB9_D3_18O-7_4,J3_4,1.7108,129,ABCD,B5,35,4.87,27,9.76
AB9_D3_18O-7_5,J3_5,1.6839,129,ABCD,C5-D5-E5-F5-G5-H5-H6,245,0.55,230,0.85
AB4_D1_18O-7_1,J5_1,1.7416,129,ABCD,A7-B7-C7-D7-E7,175,2.83,160,5.81
AB4_D1_18O-7_2,J5_2,1.7234,129,ABCD,F7,35,15.93,28,21.6
AB4_D1_18O-7_3,J5_3,1.7191,129,ABCD,G7,35,15.35,27,19.72
AB4_D1_18O-7_4,J5_4,1.7136,129,ABCD,H7,35,8.97,27,11.39
AB4_D1_18O-7_5,J5_5,1.6861,129,ABCD,H8-G8-F8-E8-D8-C8-B8,238,1.05,220,1.52
AB7_D3_18O-7_1,J6_1,1.7453,129,ABCD,F9-G9-H9-H10-G10,175,0.82,160,2.1
AB7_D3_18O-7_2,J6_2,1.7273,129,ABCD,F10,35,10.12,28,12.4
AB7_D3_18O-7_3,J6_3,1.7193,129,ABCD,E10-D10,70,14.43,60,18
AB7_D3_18O-7_4,J6_4,1.7089,129,ABCD,C10,35,9.46,27,11.98
AB7_D3_18O-7_5,J6_5,1.685,129,ABCD,B10-A10-A11-B11-C11-D11-E11,210,0.88,223,1.98
HA3_D1_18O-7_1,K1_1,1.7465,141,ABCD,A6-A7-B7-C7-D7,175,1.4,160,4.07
HA3_D1_18O-7_2,K1_2,1.7289,141,ABCD,E7,35,17.68,18,16.19
HA3_D1_18O-7_3,K1_3,1.7196,141,ABCD,F7-G7,75,12.46,45,10.13
HA3_D1_18O-7_4,K1_4,1.7116,141,ABCD,H7,35,8.25,20,7.74
HA3_D1_18O-7_5,K1_5,1.6863,141,ABCD,H8-G8-F8-E8-D8-C8-B8,245,1.03,223,1.61
AC4_D3_18O-7_1,K3_1,1.746,129,EFGH,D1-E1-F1-G1-H1,175,1.26,152,2.13
AC4_D3_18O-7_2,K3_2,1.7277,129,EFGH,H2,35,7.86,27,10.17
AC4_D3_18O-7_3,K3_3,1.7195,129,EFGH,G2-F2,70,13.98,60,14.13
AC4_D3_18O-7_4,K3_4,1.7113,129,EFGH,E2,35,8.55,27,10.6
AC4_D3_18O-7_5,K3_5,1.6875,129,EFGH,D2-C2-B2-A2-A3-B3-C3,245,1.29,226,2.65
HA9_D3_18O-7_1,K4_1,1.7458,129,EFGH,G4-F4-E4-D4-C4,175,1.91,160,5.06
HA9_D3_18O-7_2,K4_2,1.7257,129,EFGH,B4-A4,70,14.07,61,17.34
HA9_D3_18O-7_3,K4_3,1.7169,129,EFGH,A5,35,11.93,27,14.53
HA9_D3_18O-7_4,K4_4,1.7115,129,EFGH,B5,35,7.82,27,10.34
HA9_D3_18O-7_5,K4_5,1.6857,129,EFGH,C5-D5-E5-F5-G5-H5-H6,245,1.1,220,2.03
AA9_D5_18O-7_1,K5_1,1.7449,146,IJKL,B6-A6-A7-B7-C7-D7,210,1.04,202,1.08
AA9_D5_18O-7_2,K5_2,1.7239,146,IJKL,E7,35,14.58,28,12.93
AA9_D5_18O-7_3,K5_3,1.7174,146,IJKL,F7,35,18.54,28,19.5
AA9_D5_18O-7_4,K5_4,1.7119,146,IJKL,G7,35,17.57,28,15.78
AA9_D5_18O-7_5,K5_5,1.6837,146,IJKL,H7-H8-G8-F8-E8-D8-C8-B8,280,2.15,270,2.15
HC8_D5_18O-7_1,K6_1,1.7468,138,IJKL,A6-A7-B7-C7-D7,160,0.45,152,4.28
HC8_D5_18O-7_2,K6_2,1.7278,138,IJKL,E7,32,4.36,27,4.99
HC8_D5_18O-7_3,K6_3,1.7212,138,IJKL,F7,32,7.66,27,9.02
HC8_D5_18O-7_4,K6_4,1.7125,138,IJKL,G7-H7,64,5.46,60,8.54
HC8_D5_18O-7_5,K6_5,1.686,138,IJKL,H8-G8-F8-E8-D8-C8-B8,224,0.43,200,0.44
AB7_D5_18O-7_1,L2_1,1.7478,138,IJKL,E9-F9-G9-H9-H10-G10,192,1.16,174,1.69
AB7_D5_18O-7_2,L2_2,1.7282,138,IJKL,F10,32,6.58,27,9.26
AB7_D5_18O-7_3,L2_3,1.7189,138,IJKL,E10-D10,64,13.68,60,10.6
AB7_D5_18O-7_4,L2_4,1.7096,138,IJKL,C10,32,9.32,27,9.74
AB7_D5_18O-7_5,L2_5,1.6853,138,IJKL,B10-A10-A11-B11-C11-D11-E11,224,0.98,206,0.99
AC9_D3_18O-7_1,L3_1,1.7437,129,EFGH,A6-A7-B7-C7-D7-E7,210,1.78,188,4.06
AC9_D3_18O-7_2,L3_2,1.7226,129,EFGH,F7,35,10.92,27,13.56
AC9_D3_18O-7_3,L3_3,1.7171,129,EFGH,G7,34.5,13.33,27,14.88
AC9_D3_18O-7_4,L3_4,1.7117,129,EFGH,H7,35,8.25,27,11.63
AC9_D3_18O-7_5,L3_5,1.6884,129,EFGH,H8-G8-F8-E8-D8-C8-B8,245,0.98,220,3.19
HC4_D1_18O-7_1,L6_1,1.7462,129,EFGH,F9-G9-H9-H10-G10,175,1.07,160,1.5
HC4_D1_18O-7_2,L6_2,1.7282,129,EFGH,F10,35,6.63,27,10.97
HC4_D1_18O-7_3,L6_3,1.7189,129,EFGH,E10-D10,70,9.74,61,15.37
HC4_D1_18O-7_4,L6_4,1.7118,129,EFGH,C10,35,5.38,27,7.91
HC4_D1_18O-7_5,L6_5,1.6871,129,EFGH,B10-A10-A11-B11-C11-D11-E11,245,0.84,230,1.5
HA5_D3_18O-7_1,M1_1,1.7448,139,ABCD,D1-E1-F1-G1-H1,175,0.48,160,1.21
HA5_D3_18O-7_2,M1_2,1.7269,139,ABCD,H2,35,5.15,27,8.12
HA5_D3_18O-7_3,M1_3,1.7206,139,ABCD,G2,35,8.86,27,10.4
HA5_D3_18O-7_4,M1_4,1.714,139,ABCD,F2,35,6.07,27,8.44
HA5_D3_18O-7_5,M1_5,1.6872,139,ABCD,E2-D2-C2-B2-A2-A3-B3-C3,280,1.03,260,2.62
AA9_D1_18O-7_1,M2_1,1.7472,129,IJKL,D1-E1-F1-G1-H1,175,1.3,160,4.32
AA9_D1_18O-7_2,M2_2,1.7283,129,IJKL,H2,35,9.46,27,7.83
AA9_D1_18O-7_3,M2_3,1.719,129,IJKL,G2-F2,70,11.62,60,10.32
AA9_D1_18O-7_4,M2_4,1.7108,129,IJKL,E2,35,6.5,27,10.05
AA9_D1_18O-7_5,M2_5,1.6859,129,IJKL,D2-C2-B2-A2-A3-B3-C3,245,0.6,220,1.22
AB5_D5_18O-7_1,M3_1,1.7449,141,EFGH,G4-F4-E4-D4-C4,175,3.46,168,0.95
AB5_D5_18O-7_2,M3_2,1.7274,141,EFGH,B4,35,18.83,20,3.29
AB5_D5_18O-7_3,M3_3,1.7186,141,EFGH,A4-A5,70,20.55,45,15.13
AB5_D5_18O-7_4,M3_4,1.7099,141,EFGH,B5,35,10.48,22,15.04
AB5_D5_18O-7_5,M3_5,1.6821,141,EFGH,C5-D5-E5-F5-G5-H5-H6,245,1.61,220,7.31
AB5_D3_18O-7_1,M4_1,1.746,146,ABCD,D1-E1-F1-G1-H1,175,0.8,180,1.18
AB5_D3_18O-7_2,M4_2,1.7276,146,ABCD,H2,35,8.96,36,7.07
AB5_D3_18O-7_3,M4_3,1.7195,146,ABCD,G2-F2,70,17.03,15,14.82
AB5_D3_18O-7_4,M4_4,1.7114,146,ABCD,E2,35,9.74,28,7.05
AB5_D3_18O-7_5,M4_5,1.6854,146,ABCD,D2-C2-B2-A2-A3-B3-C3,244,0.99,131,1.69
AA7_D1_18O-7_1,M6_1,1.7467,149,MNOP,F4-E4-D4-C4-B4,175,0.86,168,1.44
AA7_D1_18O-7_2,M6_2,1.7261,149,MNOP,A4-A5,70,8.18,63,13.91
AA7_D1_18O-7_3,M6_3,1.7168,149,MNOP,B5,35,6.07,28,11.4
AA7_D1_18O-7_4,M6_4,1.7116,149,MNOP,C5,35,3.53,28,6.36
AA7_D1_18O-7_5,M6_5,1.6817,149,MNOP,D5-E5-F5-G5-H5-H6-G6,245,0.41,240,0.83
HA5_D1_18O-7_1,N1_1,1.7442,139,ABCD,A6-A7-B7-C7-D7-E7,195,1.79,180,5.82
HA5_D1_18O-7_2,N1_2,1.7229,139,ABCD,F7,35,10.25,27,14.5
HA5_D1_18O-7_3,N1_3,1.7163,139,ABCD,G7,35,9.88,27,13.2
HA5_D1_18O-7_4,N1_4,1.7109,139,ABCD,H7,35,5.78,27,6.83
HA5_D1_18O-7_5,N1_5,1.6839,139,ABCD,H8-G8-F8-E8-D8-C8-B8,245,0.7,220,2.19
HC8_D1_18O-7_1,N2_1,1.7442,131,ABCD,G4-F4-E4-D4-C4-B4,210,3.16,160,7.48
HC8_D1_18O-7_2,N2_2,1.7239,131,ABCD,A4,35,10.21,27,10.23
HC8_D1_18O-7_3,N2_3,1.7175,131,ABCD,A5,35,8.21,27,7.89
HC8_D1_18O-7_4,N2_4,1.7121,131,ABCD,B5,35,4.73,27,8.06
HC8_D1_18O-7_5,N2_5,1.6864,131,ABCD,C5-D5-E5-F5-G5-H5-H6,232,0.53,220,1.07
AB7_D1_18O-7_1,N3_1,1.7434,129,IJKL,A7-B7-C7-D7,140,1.34,128,4.21
AB7_D1_18O-7_2,N3_2,1.7256,129,IJKL,E7-F7,70,13.18,60,16.52
AB7_D1_18O-7_3,N3_3,1.7163,129,IJKL,G7,35,11.66,27,11.11
AB7_D1_18O-7_4,N3_4,1.7109,129,IJKL,H7,35,5.08,27,10.19
AB7_D1_18O-7_5,N3_5,1.6862,129,IJKL,H8-G8-F8-E8-D8-C8-B8,245,0.74,220,2.73
AA3_D3_18O-7_1,N4_1,1.7416,129,IJKL,G9-H9-H10-G10-F10,175,2.74,160,3.04
AA3_D3_18O-7_2,N4_2,1.7237,129,IJKL,E10,35,13.34,27,16.96
AA3_D3_18O-7_3,N4_3,1.7171,129,IJKL,D10,35,13.4,27,14.64
AA3_D3_18O-7_4,N4_4,1.7118,129,IJKL,C10,35,8.9,27,11.08
AA3_D3_18O-7_5,N4_5,1.6867,129,IJKL,B10-A10-A11-B11-C11-D11-E11,245,1.23,224,2.51
AC9_D1_18O-7_1,N5_1,1.7415,129,MNOP,E1-F1-G1-H1-H2,175,5.83,160,7.07
AC9_D1_18O-7_2,N5_2,1.7242,129,MNOP,G2,35,17.29,27,20.28
AC9_D1_18O-7_3,N5_3,1.7176,129,MNOP,F2,35,13.25,27,12.69
AC9_D1_18O-7_4,N5_4,1.7105,129,MNOP,E2-D2,70,5.77,60,8.01
AC9_D1_18O-7_5,N5_5,1.6828,129,MNOP,C2-B2-A2-A3-B3-C3,210,0.67,188,1.27
HA8_D3_18O-7_1,N6_1,1.741,129,MNOP,F4-E4-D4-C4-B4,175,6.52,160,7.82
HA8_D3_18O-7_2,N6_2,1.7235,129,MNOP,A4,35,15.98,27,11.41
HA8_D3_18O-7_3,N6_3,1.7202,129,MNOP,A5,35,11.84,27,9.69
HA8_D3_18O-7_4,N6_4,1.7136,129,MNOP,B5,35,8.37,27,6.88
HA8_D3_18O-7_5,N6_5,1.6869,129,MNOP,C5-D5-E5-F5-G5-H5-H6,245,1.13,227,2.11
AC3_D3_18O-7_1,O1_1,1.7416,129,MNOP,A7-B7-C7-D7-E7,175,4.81,160,6.22
AC3_D3_18O-7_2,O1_2,1.7237,129,MNOP,F7,35,14.62,27,12.59
AC3_D3_18O-7_3,O1_3,1.7182,129,MNOP,G7,35,15.66,27,13.6
AC3_D3_18O-7_4,O1_4,1.7127,129,MNOP,H7,35,11.38,27,8.3
AC3_D3_18O-7_5,O1_5,1.6865,129,MNOP,H8-G8-F8-E8-D8-C8-B8,245,1.18,220,1.65
HC9_D5_18O-7_1,O2_1,1.7408,143,MNOP,E1-F1-G1-H1-H2,175,3.05,169,3
HC9_D5_18O-7_2,O2_2,1.7227,143,MNOP,G2,35,21.45,47,14.36
HC9_D5_18O-7_3,O2_3,1.7161,143,MNOP,F2,35,18.32,31,12.39
HC9_D5_18O-7_4,O2_4,1.7118,143,MNOP,E2,35,13.16,29,7.31
HC9_D5_18O-7_5,O2_5,1.6861,143,MNOP,D2-C2-B2-A2-A3-B3-C3,245,1.68,235,1.66
HB4_D3_18O-7_1,O3_1,1.7416,129,MNOP,G9-H9-H10-G10-F10,175,3.24,150,6.25
HB4_D3_18O-7_2,O3_2,1.7239,129,MNOP,E10,35,14.5,27,13.56
HB4_D3_18O-7_3,O3_3,1.7184,129,MNOP,D10,35,10.28,27,8.48
HB4_D3_18O-7_4,O3_4,1.7118,129,MNOP,C10,35,2.61,27,8.31
HB4_D3_18O-7_5,O3_5,1.6881,129,MNOP,B10-A10-A11-B11-C11-D11-E11,217,0.33,228,0.7
HC5_D3_18O-7_1,O4_1,1.7445,139,ABCD,F9-G9-H9-H10-G10-F10,210,1.9,160,6.92
HC5_D3_18O-7_2,O4_2,1.7249,139,ABCD,E10,35,7.81,27,16.75
HC5_D3_18O-7_3,O4_3,1.7173,139,ABCD,D10,35,6.53,27,10.83
HC5_D3_18O-7_4,O4_4,1.7107,139,ABCD,C10,35,4.37,230,9.83
HC5_D3_18O-7_5,O4_5,1.6866,139,ABCD,B10-A10-A11-B11-C11-D11-E11,231,0.58,200,1.83
HC4_D5_18O-7_1,O6_1,1.7441,139,EFGH,D1-E1-F1-G1-H1-H2,210,1.45,27,2.24
HC4_D5_18O-7_2,O6_2,1.7243,139,EFGH,G2,35,10.45,27,11.99
HC4_D5_18O-7_3,O6_3,1.7188,139,EFGH,F2,35,7.77,27,11.1
HC4_D5_18O-7_4,O6_4,1.7124,139,EFGH,E2,35,5.19,27,6.66
HC4_D5_18O-7_5,O6_5,1.6875,139,EFGH,D2-C2-B2-A2-A3-B3-C3,245,0.73,220,1.13
HB9_D1_18O-7_1,P1_1,1.7476,142,IJKL,A7-B7-C7-D7-E7,175,3.02,168,6.13
HB9_D1_18O-7_2,P1_2,1.7257,142,IJKL,F7-G7,70,13.51,65,13.56
HB9_D1_18O-7_3,P1_3,1.7177,142,IJKL,H7,35,8.69,25,6.96
HB9_D1_18O-7_4,P1_4,1.7111,142,IJKL,H8-G8,70,3.05,64,4.04
HB9_D1_18O-7_5,P1_5,1.6848,142,IJKL,F8-E8-D8-C8-B8,175,0.47,168,0.71
HB4_D5_18O-7_1,P3_1,1.7443,141,EFGH,F9-G9-H9-H10-G10-F10,210,3.73,200,1.07
HB4_D5_18O-7_2,P3_2,1.7242,141,EFGH,E10,35,20.72,22,19.2
HB4_D5_18O-7_3,P3_3,1.7176,141,EFGH,D10,35,17.26,23,17.52
HB4_D5_18O-7_4,P3_4,1.7123,141,EFGH,C10,35,10.24,20,13.66
HB4_D5_18O-7_5,P3_5,1.6861,141,EFGH,B10-A10-A11-B11-C11-D11-E11,245,1.29,210,7.37
HA3_D3_18O-7_1,P4_1,1.7452,131,EFGH,A6-A7-B7-C7-D7,175,1.35,160,2.8
HA3_D3_18O-7_2,P4_2,1.7275,131,EFGH,E7,35,9.23,27,7.52
HA3_D3_18O-7_3,P4_3,1.722,131,EFGH,F7,35,11.99,27,13.96
HA3_D3_18O-7_4,P4_4,1.7133,131,EFGH,G7-H7,70,8.27,60,7.18
HA3_D3_18O-7_5,P4_5,1.6835,131,EFGH,H8-G8-F8-E8-D8-C8-B8,245,0.72,237,1.14
HB8_D1_18O-7_1,P5_1,1.7455,142,IJKL,G9-H9-H10-G10-F10,175,2.85,165,3.07
HB8_D1_18O-7_2,P5_2,1.7265,142,IJKL,E10,35,9.76,32,7.94
HB8_D1_18O-7_3,P5_3,1.7221,142,IJKL,D10,35,10.03,30,8.2
HB8_D1_18O-7_4,P5_4,1.7128,142,IJKL,C10-B10,70,4.59,63,4.08
HB8_D1_18O-7_5,P5_5,1.6876,142,IJKL,A10-A11-B11-C11-D11-E11,210,0.57,204,0.78
HB5_D3_18O-7_1,P6_1,1.746,139,EFGH,G4-F4-E4-D4-C4,175,1.09,160,2.28
HB5_D3_18O-7_2,P6_2,1.7254,139,EFGH,B4-A4,70,7.68,60,7.88
HB5_D3_18O-7_3,P6_3,1.7167,139,EFGH,A5,35,6.95,27,12.31
HB5_D3_18O-7_4,P6_4,1.7101,139,EFGH,B5,35,4.66,27,8.07
HB5_D3_18O-7_5,P6_5,1.6853,139,EFGH,C5-D5-E5-F5-G5-H5-H6,245,0.6,220,1.17
HB5_D5_18O-7_1,Q1_1,1.7454,146,EFGH,B6-A6-A7-B7-C7-D7,210,1.89,197,3.39
HB5_D5_18O-7_2,Q1_2,1.725,146,EFGH,E7,35,14.78,28,13.87
HB5_D5_18O-7_3,Q1_3,1.717,146,EFGH,F7-G7,70,13.67,64,12.77
HB5_D5_18O-7_4,Q1_4,1.7077,146,EFGH,H7,35,6.98,220,9.16
HB5_D5_18O-7_5,Q1_5,1.6835,146,EFGH,H8-G8-F8-E8-D8-C8-B8,245,0.9,204,1.75
AB4_D3_18O-7_1,Q2_1,1.7431,133,ABCD,E1-F1-G1-H1-H2,175,2.12,168,2.99
AB4_D3_18O-7_2,Q2_2,1.726,133,ABCD,G2,35,16.05,27,12.32
AB4_D3_18O-7_3,Q2_3,1.7195,133,ABCD,F2,35,15.94,27,8.66
AB4_D3_18O-7_4,Q2_4,1.7129,133,ABCD,E2,35,11.63,27,11.33
AB4_D3_18O-7_5,Q2_5,1.6889,133,ABCD,D2-C2-B2-A2-A3-B3-C3,245,1.52,230,2.09
AC7_D1_18O-7_1,Q4_1,1.7456,133,ABCD,A6-A7-B7-C7-D7,175,0.8,170,1.53
AC7_D1_18O-7_2,Q4_2,1.7244,133,ABCD,E7,35,10.43,27,11.49
AC7_D1_18O-7_3,Q4_3,1.7189,133,ABCD,F7-G7,70,17.17,60,10.23
AC7_D1_18O-7_4,Q4_4,1.7103,133,ABCD,H7,35,8.8,27,10.09
AC7_D1_18O-7_5,Q4_5,1.6859,133,ABCD,H8-G8-F8-E8-D8-C8-B8,245,0.82,230,1.53
HA9_D5_18O-7_1,Q5_1,1.7442,139,EFGH,A6-A7-B7-C7-D7,175,1,145,1.44
HA9_D5_18O-7_2,Q5_2,1.7264,139,EFGH,E7,35,6.54,18,8.1
HA9_D5_18O-7_3,Q5_3,1.7209,139,EFGH,F7,35,8.48,18,5.25
HA9_D5_18O-7_4,Q5_4,1.7118,139,EFGH,G7-H7,70,4.82,56,5.95
HA9_D5_18O-7_5,Q5_5,1.6845,139,EFGH,H8-G8-F8-E8-D8-C8-B8,245,0.49,223,3.08
AC7_D3_18O-7_1,R1_1,1.7419,133,EFGH,F4-E4-D4-C4-B4,175,1.65,165,2.92
AC7_D3_18O-7_2,R1_2,1.7239,133,EFGH,A4,35,12.97,27,9.2
AC7_D3_18O-7_3,R1_3,1.7184,133,EFGH,A5,35,14.17,27,10.4
AC7_D3_18O-7_4,R1_4,1.7108,133,EFGH,B5,35,11.8,27,10.56
AC7_D3_18O-7_5,R1_5,1.6879,133,EFGH,C5-D5-E5-F5-G5-H5-H6,245,1.47,220,2.67
HC3_D3_18O-7_1,R3_1,1.7435,133,EFGH,A7-B7-C7-D7-E7,175,2.39,150,4.99
HC3_D3_18O-7_2,R3_2,1.7245,133,EFGH,F7,35,11.55,27,13.58
