sample_id,average_density
z16_1,1.7445
z16_2,1.7261
z16_3,1.7206
z16_4,1.7113
z16_5,1.6860
z17_1,1.7429
z17_2,1.7248
z17_3,1.7196
z17_4,1.7130
z17_5,1.6882
z18_1,1.7455
z18_2,1.7282
z18_3,1.7216
z18_4,1.7125
z18_5,1.6865
Z10_1,1.7473
Z10_2,1.7274
Z10_3,1.7198
Z10_4,1.7121
Z10_5,1.6866
Z11_1,1.7453
Z11_2,1.7271
Z11_3,1.7190
Z11_4,1.7098
Z11_5,1.6878
Z12_1,1.7414
Z12_2,1.7238
Z12_3,1.7183
Z12_4,1.7129
Z12_5,1.6906
z14_1,1.7432
z14_2,1.7253
z14_3,1.7198
z14_4,1.7112
z14_5,1.6848
z15_1,1.7457
z15_2,1.7254
z15_3,1.7173
z15_4,1.7107
z15_5,1.6839
z13_1,1.7463
z13_2,1.7259
z13_3,1.7177
z13_4,1.7112
z13_5,1.6848
Z7_1,1.7469
Z7_2,1.7263
Z7_3,1.7172
Z7_4,1.7117
Z7_5,1.6861
Z9_1,1.7431
Z9_2,1.7243
Z9_3,1.7189
Z9_4,1.7123
Z9_5,1.6838
J2_1,1.7461
J2_2,1.7285
J2_3,1.7221
J2_4,1.7128
J2_5,1.6811
J5_1,1.7416
J5_2,1.7234
J5_3,1.7191
J5_4,1.7136
J5_5,1.6861
J6_1,1.7453
J6_2,1.7273
J6_3,1.7193
J6_4,1.7089
J6_5,1.6850
J3_1,1.7469
J3_2,1.7254
J3_3,1.7163
J3_4,1.7108
J3_5,1.6839
L6_1,1.7462
L6_2,1.7282
L6_3,1.7189
L6_4,1.7118
L6_5,1.6871
K3_1,1.7460
K3_2,1.7277
K3_3,1.7195
K3_4,1.7113
K3_5,1.6875
L3_1,1.7437
L3_2,1.7226
L3_3,1.7171
L3_4,1.7117
L3_5,1.6884
K4_1,1.7458
K4_2,1.7257
K4_3,1.7169
K4_4,1.7115
K4_5,1.6857
N4_1,1.7416
N4_2,1.7237
N4_3,1.7171
N4_4,1.7118
N4_5,1.6867
N3_1,1.7434
N3_2,1.7256
N3_3,1.7163
N3_4,1.7109
N3_5,1.6862
M2_1,1.7472
M2_2,1.7283
M2_3,1.7190
M2_4,1.7108
M2_5,1.6859
O1_1,1.7416
O1_2,1.7237
O1_3,1.7182
O1_4,1.7127
O1_5,1.6865
O3_1,1.7416
O3_2,1.7239
O3_3,1.7184
O3_4,1.7118
O3_5,1.6881
N6_1,1.7410
N6_2,1.7235
N6_3,1.7202
N6_4,1.7136
N6_5,1.6869
N5_1,1.7415
N5_2,1.7242
N5_3,1.7176
N5_4,1.7105
N5_5,1.6828
J1_1,1.7469
J1_2,1.7259
J1_3,1.7166
J1_4,1.7111
J1_5,1.6796
N2_1,1.7442
N2_2,1.7239
N2_3,1.7175
N2_4,1.7121
N2_5,1.6864
P4_1,1.7452
P4_2,1.7275
P4_3,1.7220
P4_4,1.7133
P4_5,1.6835
X2_1,1.7449
X2_2,1.7262
X2_3,1.7208
X2_4,1.7117
X2_5,1.6871
W2_1,1.7451
W2_2,1.7257
W2_3,1.7193
W2_4,1.7139
W2_5,1.6887
X5_1,1.7443
X5_2,1.7267
X5_3,1.7204
X5_4,1.7116
X5_5,1.6823
S1_1,1.7430
S1_2,1.7243
S1_3,1.7199
S1_4,1.7108
S1_5,1.6853
Z3_1,1.7455
Z3_2,1.7256
Z3_3,1.7191
Z3_4,1.7136
Z3_5,1.6867
U4_1,1.7434
U4_2,1.7263
U4_3,1.7198
U4_4,1.7121
U4_5,1.6873
Y6_1,1.7431
Y6_2,1.7248
Y6_3,1.7205
Y6_4,1.7112
Y6_5,1.6870
W6_1,1.7457
W6_2,1.7252
W6_3,1.7186
W6_4,1.7111
W6_5,1.6862
U3_1,1.7425
U3_2,1.7246
U3_3,1.7202
U3_4,1.7109
U3_5,1.6847
T1_1,1.7442
T1_2,1.7260
