database_url,id,sample_id,date_collected,location,host,depth,viromics,core_processor,DNA concentration extr1 (ng/ul),DNA loaded for SIP (ug),DNA loaded for SIP (ul),Final greenhouse GWC (%),Freezer location,GWC %,Grams soil DNA extr1,H2O amount (ml),H2O atom perc,Lab dried GWC (%),Time of sampling,Vial size (ml),Volume extr1 (ul),Weight (gr),Weight dried (gr),Weight for DNA (gr),Weight for pH (gr),Wet Weight (gr),pH
https://biotite.berkeley.edu/QRLab/2/detail,2,AA1_D1_18O-7,2022-03-17,AA,UCB,0-10,0,,,,,,4th floor Firestone 2nd row,,,0.6,97,,,,,4.991,4.416,,,,
https://biotite.berkeley.edu/QRLab/4/detail,4,AA1_D2_18O-7,2022-03-17,AA,UCB,10-20,0,,,,,,4th floor Firestone 2nd row,,,0.6,97,,,,,5.233,4.605,,,,
https://biotite.berkeley.edu/QRLab/6/detail,6,AA1_D3_18O-7,2022-03-17,AA,UCB,20-30,0,,,,,,4th floor Firestone 2nd row,,,1.2,97,,,,,10.312,9.263,,,,
https://biotite.berkeley.edu/QRLab/7/detail,7,AA1_D3_18O-30,2022-03-17,AA,UCB,20-30,0,,,,,,4th floor Banfield top row,,,1.2,97,,,,,10.127,9.165,,,,
https://biotite.berkeley.edu/QRLab/9/detail,9,AA1_D4_18O-7,2022-03-17,AA,UCB,30-50,0,,,,,,4th floor Firestone 2nd row,,,1.2,97,,,,,9.97,9.156,,,,
https://biotite.berkeley.edu/QRLab/10/detail,10,AA1_D4_18O-30,2022-03-17,AA,UCB,30-50,0,,,,,,4th floor Banfield top row,,,1.2,97,,,,,9.895,9.099,,,,
https://biotite.berkeley.edu/QRLab/12/detail,12,AA1_D5_18O-7,2022-03-17,AA,UCB,50-70,0,,,,,,4th floor Firestone 2nd row,,,1.2,97,,,,,9.635,8.993,,,,
https://biotite.berkeley.edu/QRLab/13/detail,13,AA1_D5_18O-30,2022-03-17,AA,UCB,50-70,0,,,,,,4th floor Banfield top row,,,1.2,97,,,,,9.614,8.937,,,,
https://biotite.berkeley.edu/QRLab/18/detail,18,AB1_D1_18O-7,2022-03-17,AB,UCB,0-10,0,,,,,,4th floor Firestone 2nd row,,,0.6,97,,,,,5.202,4.42,,,,
https://biotite.berkeley.edu/QRLab/20/detail,20,AB1_D2_18O-7,2022-03-17,AB,UCB,10-20,0,,,,,,4th floor Firestone 2nd row,,,0.6,97,,,,,5.146,4.533,,,,
https://biotite.berkeley.edu/QRLab/22/detail,22,AB1_D3_18O-7,2022-03-17,AB,UCB,20-30,0,,,,,,4th floor Firestone 2nd row,,,1.2,97,,,,,9.698,8.905,,,,
https://biotite.berkeley.edu/QRLab/23/detail,23,AB1_D3_18O-30,2022-03-17,AB,UCB,20-30,0,,,,,,4th floor Banfield top row,,,1.2,97,,,,,9.98,9.225,,,,
https://biotite.berkeley.edu/QRLab/25/detail,25,AB1_D4_18O-7,2022-03-17,AB,UCB,30-50,0,,,,,,4th floor Firestone 2nd row,,,1.2,97,,,,,9.736,8.973,,,,
https://biotite.berkeley.edu/QRLab/26/detail,26,AB1_D4_18O-30,2022-03-17,AB,UCB,30-50,0,,,,,,4th floor Banfield top row,,,1.2,97,,,,,9.658,8.888,,,,
https://biotite.berkeley.edu/QRLab/28/detail,28,AB1_D5_18O-7,2022-03-17,AB,UCB,50-70,0,,,,,,4th floor Firestone 2nd row,,,1.2,97,,,,,9.65,9.119,,,,
https://biotite.berkeley.edu/QRLab/29/detail,29,AB1_D5_18O-30,2022-03-17,AB,UCB,50-70,0,,,,,,4th floor Banfield top row,,,1.2,97,,,,,9.378,8.836,,,,
https://biotite.berkeley.edu/QRLab/34/detail,34,AC1_D1_18O-7,2022-03-17,AC,UCB,0-10,0,,,,,,4th floor Firestone 2nd row,,,0.6,97,,,,,5.195,4.407,,,,
https://biotite.berkeley.edu/QRLab/36/detail,36,AC1_D2_18O-7,2022-03-17,AC,UCB,10-20,0,,,,,,4th floor Firestone 2nd row,,,0.6,97,,,,,5.167,4.617,,,,
https://biotite.berkeley.edu/QRLab/38/detail,38,AC1_D3_18O-7,2022-03-17,AC,UCB,20-30,0,,,,,,4th floor Firestone 2nd row,,,1.2,97,,,,,10.328,9.388,,,,
