id,database_url,sample_id,date_collected,location,host,depth,viromics,core_processor,Final greenhouse GWC (%),Freezer location,GWC %,H2O amount (ml),H2O atom perc,Lab dried GWC (%),Time of sampling,Vial size (ml),Weight (gr),Weight dried (gr),Weight for DNA (gr),Weight for pH (gr),Wet Weight (gr),pH
2,https://biotite.berkeley.edu/QRLab/2/detail,AA1_D1_18O-7,3/17/2022,AA,UCB,0-10,0,,,4th floor Firestone 2nd row,,0.6,97,,,,4.991,4.416,,,,
4,https://biotite.berkeley.edu/QRLab/4/detail,AA1_D2_18O-7,3/17/2022,AA,UCB,10-20,0,,,4th floor Firestone 2nd row,,0.6,97,,,,5.233,4.605,,,,
6,https://biotite.berkeley.edu/QRLab/6/detail,AA1_D3_18O-7,3/17/2022,AA,UCB,20-30,0,,,4th floor Firestone 2nd row,,1.2,97,,,,10.312,9.263,,,,
7,https://biotite.berkeley.edu/QRLab/7/detail,AA1_D3_18O-30,3/17/2022,AA,UCB,20-30,0,,,4th floor Banfield top row,,1.2,97,,,,10.127,9.165,,,,
9,https://biotite.berkeley.edu/QRLab/9/detail,AA1_D4_18O-7,3/17/2022,AA,UCB,30-50,0,,,4th floor Firestone 2nd row,,1.2,97,,,,9.97,9.156,,,,
10,https://biotite.berkeley.edu/QRLab/10/detail,AA1_D4_18O-30,3/17/2022,AA,UCB,30-50,0,,,4th floor Banfield top row,,1.2,97,,,,9.895,9.099,,,,
12,https://biotite.berkeley.edu/QRLab/12/detail,AA1_D5_18O-7,3/17/2022,AA,UCB,50-70,0,,,4th floor Firestone 2nd row,,1.2,97,,,,9.635,8.993,,,,
13,https://biotite.berkeley.edu/QRLab/13/detail,AA1_D5_18O-30,3/17/2022,AA,UCB,50-70,0,,,4th floor Banfield top row,,1.2,97,,,,9.614,8.937,,,,
18,https://biotite.berkeley.edu/QRLab/18/detail,AB1_D1_18O-7,3/17/2022,AB,UCB,0-10,0,,,4th floor Firestone 2nd row,,0.6,97,,,,5.202,4.42,,,,
20,https://biotite.berkeley.edu/QRLab/20/detail,AB1_D2_18O-7,3/17/2022,AB,UCB,10-20,0,,,4th floor Firestone 2nd row,,0.6,97,,,,5.146,4.533,,,,
