unique.tube	g.wet.soil.extracted	total.DNA.extracted.ng.ul	total.DNA.extracted.ng	total.DNA.extracted.ug	ug.DNA.g.DM.soil	dry.wet	g.dry.soil.extracted	ug.DNA.added.to.tube	g.dry.soil.tube
I_Full_17	1	88.90278933	8534.667775	8.534667775	186.3292083	0.04580424	0.04580424	4	0.02146738
I_Full_19	1	49.1224165	4715.751984	4.715751984	102.954486	0.04580424	0.04580424	4	0.03885212
I_Full_22	1	56.13633828	5389.088475	5.389088475	117.6547952	0.04580424	0.04580424	4	0.033997764
I_Full_23	1	165.2685285	15865.77873	15.86577873	346.3823159	0.04580424	0.04580424	4	0.011547934
I_Full_24	1	86.59619646	8313.23486	8.31323486	181.494876	0.04580424	0.04580424	4	0.02203919
I_Full_30	1	66.81540614	6414.27899	6.41427899	140.0367955	0.04580424	0.04580424	4	0.028563921
I_Full_31	1	90.79058038	8715.895716	8.715895716	190.2857839	0.04580424	0.04580424	4	0.021021013
I_Full_32	1	69.42986824	6665.267351	6.665267351	145.5163834	0.04580424	0.04580424	4	0.027488314
I_Full_01	1	105.1925133	10098.48128	10.09848128	220.4704473	0.04580424	0.04580424	4	0.018143021
I_Full_03	1	22.9837065	4412.871648	4.412871648	96.34199035	0.04580424	0.04580424	4	0.04151876
I_Full_06	1	66.4375222	6378.002131	6.378002131	139.2447977	0.04580424	0.04580424	4	0.028726387
I_Full_07	1	126.1888523	12114.12982	12.11412982	264.4761668	0.04580424	0.04580424	4	0.015124236
I_Full_08	1	109.7226425	10533.37368	10.53337368	229.9650356	0.04580424	0.04580424	4	0.017393949
I_Full_14	1	89.83637449	8624.291951	8.624291951	188.2858869	0.04580424	0.04580424	4	0.02124429
I_Full_15	1	90.40625158	8679.000152	8.679000152	189.4802785	0.04580424	0.04580424	4	0.021110376
I_Full_16	1	146.6752384	14080.82289	14.08082289	307.4130886	0.04580424	0.04580424	4	0.013011808
